3.000000,0.032389,0.406329,0.333333
3.000000,0.602649,0.263696,0.000000
6.000000,0.974082,0.022805,0.000000
7.000000,0.905512,0.025548,0.000000
9.000000,0.966216,0.012974,0.333333
11.000000,0.920000,0.075021,0.000000
14.000000,1.000000,0.004507,0.333333
17.000000,1.000000,0.005818,0.000000
5.000000,0.368571,0.303358,0.400000
10.000000,0.942667,0.050266,0.400000
15.000000,0.953488,0.042040,0.800000
20.000000,1.000000,0.027870,0.000000
25.000000,1.000000,0.004280,0.400000
30.000000,1.000000,0.006334,0.600000
54.000000,0.986962,0.011165,0.500000
79.000000,0.999388,0.003067,0.540000
20.000000,0.035831,0.370030,0.540000
40.000000,0.988014,0.006083,0.540000
