python3 -m cProfile -s cumtime src/main.py >> profile.txt
         1015011 function calls (1009599 primitive calls) in 7.412 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.001    0.001 sslproto.py:1(<module>)
        2    0.000    0.000    0.001    0.000 message.py:451(items)
      340    0.001    0.000    0.001    0.000 inspect.py:2813(return_annotation)
        2    0.000    0.000    0.001    0.000 handshake.py:138(check_response)
       84    0.000    0.000    0.001    0.000 typing.py:1039(_abc_negative_cache_version)
        7    0.001    0.000    0.001    0.000 socket.py:139(__init__)
       22    0.000    0.000    0.001    0.000 _policybase.py:293(header_source_parse)
      340    0.001    0.000    0.001    0.000 {built-in method builtins.id}
        4    0.001    0.000    0.001    0.000 {built-in method io.open}
      292    0.001    0.000    0.001    0.000 pokemon.py:123(set_status)
        2    0.000    0.000    0.001    0.000 _collections.py:225(extend)
        8    0.000    0.000    0.001    0.000 cookiejar.py:145(_str2time)
        8    0.000    0.000    0.001    0.000 cookies.py:88(origin_req_host)
        1    0.000    0.000    0.001    0.001 encode_asn1.py:5(<module>)
    51/47    0.000    0.000    0.001    0.000 typing.py:553(_replace_arg)
       13    0.000    0.000    0.001    0.000 base_events.py:286(create_task)
       20    0.000    0.000    0.001    0.000 parse.py:154(hostname)
        2    0.000    0.000    0.001    0.000 message.py:459(<listcomp>)
        2    0.000    0.000    0.001    0.000 models.py:441(prepare_headers)
        1    0.000    0.000    0.001    0.001 errors.py:5(<module>)
      320    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1202(<genexpr>)
        1    0.000    0.000    0.001    0.001 events.py:1(<module>)
      345    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:424(has_location)
        8    0.000    0.000    0.001    0.000 hashlib.py:73(__get_builtin_constructor)
       87    0.000    0.000    0.001    0.000 six.py:105(__init__)
        1    0.000    0.000    0.001    0.001 exceptions.py:8(<module>)
        1    0.000    0.000    0.001    0.001 tasks.py:1(<module>)
        1    0.000    0.000    0.001    0.001 decode_asn1.py:5(<module>)
        1    0.000    0.000    0.001    0.001 subprocess.py:1(<module>)
        8    0.000    0.000    0.001    0.000 cookies.py:48(get_origin_req_host)
       32    0.000    0.000    0.001    0.000 ipaddress.py:1251(__init__)
        1    0.000    0.000    0.001    0.001 base_subprocess.py:1(<module>)
        1    0.000    0.000    0.001    0.001 protocol.py:58(WebSocketCommonProtocol)
        1    0.000    0.000    0.001    0.001 oid.py:69(ExtensionOID)
       68    0.000    0.000    0.001    0.000 structures.py:51(__getitem__)
       45    0.000    0.000    0.001    0.000 threading.py:334(notify)
       47    0.000    0.000    0.001    0.000 ipaddress.py:158(_split_optional_netmask)
      309    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:825(get_filename)
        2    0.000    0.000    0.001    0.000 client.py:438(read)
      258    0.001    0.000    0.001    0.000 six.py:88(__init__)
        2    0.000    0.000    0.001    0.000 main.py:14(main)
        4    0.001    0.000    0.001    0.000 {built-in method _openssl.SSL_write}
        1    0.000    0.000    0.001    0.001 name.py:15(_ASN1Type)
       28    0.000    0.000    0.001    0.000 ipaddress.py:1596(_make_netmask)
       24    0.000    0.000    0.001    0.000 cookies.py:51(get_full_url)
        2    0.000    0.000    0.001    0.000 client.py:353(__init__)
        1    0.000    0.000    0.001    0.001 typing.py:2354(TextIO)
      309    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:669(create_module)
        2    0.000    0.000    0.001    0.000 feedparser.py:184(close)
        1    0.000    0.000    0.001    0.001 typing.py:1248(__getitem__)
        1    0.000    0.000    0.001    0.001 typing.py:2340(BinaryIO)
       45    0.000    0.000    0.001    0.000 ipaddress.py:1866(__init__)
        8    0.000    0.000    0.001    0.000 cookies.py:45(get_host)
        2    0.000    0.000    0.001    0.000 protocol.py:279(connection_open)
        1    0.000    0.000    0.001    0.001 extensions.py:581(ReasonFlags)
        1    0.000    0.000    0.001    0.001 base64.py:3(<module>)
       12    0.000    0.000    0.001    0.000 http.py:181(read_line)
        2    0.000    0.000    0.001    0.000 pyopenssl.py:418(set_ciphers)
        6    0.000    0.000    0.001    0.000 typing.py:875(__extrahook__)
        2    0.000    0.000    0.001    0.000 adapters.py:329(request_url)
        2    0.000    0.000    0.001    0.000 selector_events.py:452(_sock_connect)
        2    0.001    0.000    0.001    0.000 {built-in method _openssl.SSL_library_init}
    85/64    0.000    0.000    0.001    0.000 sre_compile.py:414(_get_literal_prefix)
      106    0.001    0.000    0.001    0.000 utils.py:27(read_only_property)
        2    0.000    0.000    0.001    0.000 connectionpool.py:212(_get_conn)
        1    0.000    0.000    0.001    0.001 typing.py:843(__getitem__)
      284    0.001    0.000    0.001    0.000 {method 'items' of 'collections.OrderedDict' objects}
        1    0.000    0.000    0.000    0.000 _compat_pickle.py:9(<module>)
        4    0.000    0.000    0.000    0.000 typing.py:613(_remove_dups_flatten)
        1    0.000    0.000    0.000    0.000 cp949prober.py:28(<module>)
       96    0.000    0.000    0.000    0.000 enum.py:822(_high_bit)
      219    0.000    0.000    0.000    0.000 abc.py:9(abstractmethod)
        6    0.000    0.000    0.000    0.000 cookies.py:37(__init__)
      100    0.000    0.000    0.000    0.000 ssl.py:139(<lambda>)
      240    0.000    0.000    0.000    0.000 enum.py:594(name)
        2    0.000    0.000    0.000    0.000 client.py:470(readinto)
        4    0.000    0.000    0.000    0.000 protocol.py:940(write_close_frame)
        2    0.000    0.000    0.000    0.000 SSL.py:1127(set_cipher_list)
        8    0.000    0.000    0.000    0.000 genericpath.py:16(exists)
      185    0.000    0.000    0.000    0.000 _weakrefset.py:16(__init__)
        2    0.000    0.000    0.000    0.000 decode_asn1.py:599(_decode_precert_signed_certificate_timestamps)
        6    0.000    0.000    0.000    0.000 protocol.py:1002(close_connection)
       57    0.000    0.000    0.000    0.000 __init__.py:19(__new__)
        1    0.000    0.000    0.000    0.000 subprocess.py:42(<module>)
        6    0.000    0.000    0.000    0.000 posixpath.py:232(expanduser)
      100    0.000    0.000    0.000    0.000 ssl.py:124(<lambda>)
       21    0.000    0.000    0.000    0.000 events.py:210(cancel)
        2    0.000    0.000    0.000    0.000 selector_events.py:70(_make_socket_transport)
        2    0.000    0.000    0.000    0.000 SSL.py:1448(__init__)
        1    0.000    0.000    0.000    0.000 streams.py:342(StreamReader)
       83    0.000    0.000    0.000    0.000 {built-in method _sre.compile}
      247    0.000    0.000    0.000    0.000 {built-in method builtins.chr}
        1    0.000    0.000    0.000    0.000 oid.py:131(SignatureAlgorithmOID)
        1    0.000    0.000    0.000    0.000 sbcharsetprober.py:29(<module>)
        2    0.000    0.000    0.000    0.000 selector_events.py:659(_call_connection_lost)
      100    0.000    0.000    0.000    0.000 ssl.py:149(<lambda>)
      220    0.000    0.000    0.000    0.000 {built-in method _sre.getlower}
        2    0.000    0.000    0.000    0.000 uri.py:34(parse_uri)
        1    0.000    0.000    0.000    0.000 __init__.py:259(_reset_cache)
        2    0.000    0.000    0.000    0.000 models.py:556(prepare_cookies)
        6    0.000    0.000    0.000    0.000 cookies.py:508(cookiejar_from_dict)
       19    0.000    0.000    0.000    0.000 ipaddress.py:1075(_make_netmask)
       86    0.000    0.000    0.000    0.000 typing.py:518(_get_type_vars)
        2    0.000    0.000    0.000    0.000 selector_events.py:685(__init__)
       28    0.000    0.000    0.000    0.000 feedparser.py:128(__next__)
      100    0.000    0.000    0.000    0.000 ssl.py:144(<lambda>)
       46    0.000    0.000    0.000    0.000 utils.py:51(_has_surrogates)
        1    0.000    0.000    0.000    0.000 exceptions.py:2(<module>)
       28    0.000    0.000    0.000    0.000 _collections.py:151(__getitem__)
        2    0.000    0.000    0.000    0.000 cookies.py:135(get_cookie_header)
        1    0.000    0.000    0.000    0.000 transports.py:1(<module>)
        1    0.000    0.000    0.000    0.000 calendar.py:6(<module>)
        1    0.000    0.000    0.000    0.000 <string>:2(<module>)
        2    0.000    0.000    0.000    0.000 selector_events.py:613(close)
        2    0.000    0.000    0.000    0.000 client.py:942(close)
        8    0.000    0.000    0.000    0.000 cookiejar.py:1367(_normalized_cookie_tuples)
      100    0.000    0.000    0.000    0.000 ssl.py:129(<lambda>)
      100    0.000    0.000    0.000    0.000 ssl.py:134(<lambda>)
      185    0.000    0.000    0.000    0.000 _weakrefset.py:52(_commit_removals)
        2    0.000    0.000    0.000    0.000 {built-in method _openssl.SSL_CTX_set_cipher_list}
        1    0.000    0.000    0.000    0.000 pyopenssl.py:115(inject_into_urllib3)
        1    0.000    0.000    0.000    0.000 token.py:1(<module>)
      154    0.000    0.000    0.000    0.000 {method 'strip' of 'str' objects}
        2    0.000    0.000    0.000    0.000 {built-in method _openssl.SSL_CTX_new}
        2    0.000    0.000    0.000    0.000 queue.py:1(<module>)
       36    0.000    0.000    0.000    0.000 sre_parse.py:257(getwhile)
        8    0.000    0.000    0.000    0.000 cookiejar.py:539(domain_match)
       14    0.000    0.000    0.000    0.000 sre_parse.py:266(getuntil)
       48    0.000    0.000    0.000    0.000 structures.py:46(__setitem__)
       99    0.000    0.000    0.000    0.000 {built-in method _imp.is_builtin}
        1    0.000    0.000    0.000    0.000 exceptions.py:10(_Reasons)
        2    0.000    0.000    0.000    0.000 connectionpool.py:807(_new_conn)
        1    0.000    0.000    0.000    0.000 _collections.py:1(<module>)
      215    0.000    0.000    0.000    0.000 typing.py:975(<genexpr>)
        1    0.000    0.000    0.000    0.000 ast.py:26(<module>)
       12    0.000    0.000    0.000    0.000 streams.py:468(readline)
      186    0.000    0.000    0.000    0.000 {method '__subclasses__' of 'type' objects}
        2    0.000    0.000    0.000    0.000 extensions.py:489(__init__)
        4    0.000    0.000    0.000    0.000 {method 'callback' of 'CompiledFFI' objects}
        1    0.000    0.000    0.000    0.000 _compression.py:1(<module>)
        5    0.000    0.000    0.000    0.000 contextlib.py:85(__exit__)
       15    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:927(exec_module)
       43    0.000    0.000    0.000    0.000 sre_compile.py:378(<listcomp>)
        1    0.000    0.000    0.000    0.000 backend.py:139(activate_osrandom_engine)
      204    0.000    0.000    0.000    0.000 sre_parse.py:167(__setitem__)
        1    0.000    0.000    0.000    0.000 token.py:74(<dictcomp>)
        2    0.000    0.000    0.000    0.000 response.py:160(__init__)
       22    0.000    0.000    0.000    0.000 _collections.py:209(add)
        1    0.000    0.000    0.000    0.000 selector_events.py:127(_make_self_pipe)
        2    0.000    0.000    0.000    0.000 models.py:576(prepare_hooks)
       11    0.000    0.000    0.000    0.000 selectors.py:179(get_key)
      142    0.000    0.000    0.000    0.000 utils.py:31(register_interface)
        2    0.000    0.000    0.000    0.000 typing.py:805(_subs_tree)
      122    0.000    0.000    0.000    0.000 {built-in method _bisect.bisect_left}
       14    0.000    0.000    0.000    0.000 __init__.py:139(_check_size)
      185    0.000    0.000    0.000    0.000 {method 'remove' of 'set' objects}
        2    0.000    0.000    0.000    0.000 {method 'readinto' of '_io.BufferedReader' objects}
        2    0.000    0.000    0.000    0.000 handshake.py:49(build_request)
        4    0.000    0.000    0.000    0.000 adapters.py:113(__init__)
       60    0.000    0.000    0.000    0.000 typing.py:866(_make_subclasshook)
        1    0.000    0.000    0.000    0.000 server.py:43(WebSocketServerProtocol)
        2    0.000    0.000    0.000    0.000 models.py:175(register_hook)
        4    0.000    0.000    0.000    0.000 protocol.py:1067(wait_for_connection_lost)
      154    0.000    0.000    0.000    0.000 {method '__subclasshook__' of 'object' objects}
        1    0.000    0.000    0.000    0.000 _teletex_codec.py:7(<module>)
        4    0.000    0.000    0.000    0.000 extensions.py:1218(get_values_for_type)
        1    0.000    0.000    0.000    0.000 cookies.py:10(<module>)
        2    0.000    0.000    0.000    0.000 protocol.py:1179(connection_made)
      257    0.000    0.000    0.000    0.000 hmac.py:10(<genexpr>)
        5    0.000    0.000    0.000    0.000 socket.py:413(close)
       16    0.000    0.000    0.000    0.000 _collections_abc.py:664(__contains__)
      161    0.000    0.000    0.000    0.000 enum.py:630(<lambda>)
      136    0.000    0.000    0.000    0.000 {method 'issuperset' of 'frozenset' objects}
      122    0.000    0.000    0.000    0.000 intranges.py:31(_encode_range)
        2    0.000    0.000    0.000    0.000 models.py:596(__init__)
        4    0.000    0.000    0.000    0.000 url.py:132(parse_url)
      257    0.000    0.000    0.000    0.000 hmac.py:11(<genexpr>)
       22    0.000    0.000    0.000    0.000 parse.py:190(_hostinfo)
        2    0.000    0.000    0.000    0.000 response.py:38(assert_header_parsing)
       47    0.000    0.000    0.000    0.000 threading.py:239(__enter__)
        2    0.000    0.000    0.000    0.000 client.py:1071(putrequest)
      126    0.000    0.000    0.000    0.000 intranges.py:34(_decode_range)
       28    0.000    0.000    0.000    0.000 enum.py:312(__getattr__)
        2    0.000    0.000    0.000    0.000 protocol.py:1224(connection_lost)
       31    0.000    0.000    0.000    0.000 ipaddress.py:1718(_parse_hextet)
        2    0.000    0.000    0.000    0.000 client.py:370(_check_close)
        4    0.000    0.000    0.000    0.000 extensions.py:1177(get_values_for_type)
        1    0.000    0.000    0.000    0.000 backend.py:211(_register_default_ciphers)
       10    0.000    0.000    0.000    0.000 SSL.py:1509(_raise_ssl_error)
        4    0.000    0.000    0.000    0.000 extensions.py:498(<genexpr>)
        2    0.000    0.000    0.000    0.000 extensions.py:1209(__init__)
      172    0.000    0.000    0.000    0.000 {method '__contains__' of 'frozenset' objects}
        3    0.000    0.000    0.000    0.000 __init__.py:73(CFUNCTYPE)
        1    0.000    0.000    0.000    0.000 mac.py:5(<module>)
        5    0.000    0.000    0.000    0.000 socket.py:409(_real_close)
       45    0.000    0.000    0.000    0.000 threading.py:254(_is_owned)
        2    0.000    0.000    0.000    0.000 ipaddress.py:27(ip_address)
        2    0.000    0.000    0.000    0.000 __init__.py:332(__init__)
        1    0.000    0.000    0.000    0.000 datetime.py:1961(timezone)
        1    0.000    0.000    0.000    0.000 connection.py:104(_has_ipv6)
       47    0.000    0.000    0.000    0.000 threading.py:242(__exit__)
        2    0.000    0.000    0.000    0.000 extensions.py:1161(__init__)
        3    0.000    0.000    0.000    0.000 datetime.py:1369(__new__)
       21    0.000    0.000    0.000    0.000 events.py:165(__init__)
        2    0.000    0.000    0.000    0.000 extensions.py:83(get_extension_for_class)
       83    0.000    0.000    0.000    0.000 sre_parse.py:76(__init__)
        1    0.000    0.000    0.000    0.000 client.py:33(WebSocketClientProtocol)
       20    0.000    0.000    0.000    0.000 extensions.py:1122(__init__)
        8    0.000    0.000    0.000    0.000 cookies.py:343(set_cookie)
      122    0.000    0.000    0.000    0.000 {built-in method unicodedata.bidirectional}
       25    0.000    0.000    0.000    0.000 utils.py:123(__getattr__)
        8    0.000    0.000    0.000    0.000 crypto.py:1090(_from_raw_x509_ptr)
       46    0.000    0.000    0.000    0.000 queue.py:14(_qsize)
      172    0.000    0.000    0.000    0.000 {method 'upper' of 'str' objects}
        2    0.000    0.000    0.000    0.000 pyopenssl.py:335(close)
      118    0.000    0.000    0.000    0.000 opcode.py:39(def_op)
       19    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:736(exec_module)
        1    0.000    0.000    0.000    0.000 oid.py:169(ExtendedKeyUsageOID)
        3    0.000    0.000    0.000    0.000 selector_events.py:260(_add_reader)
        1    0.000    0.000    0.000    0.000 _policybase.py:99(_extend_docstrings)
       37    0.000    0.000    0.000    0.000 __init__.py:22(<genexpr>)
      9/8    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:993(__iter__)
      125    0.000    0.000    0.000    0.000 {method 'items' of 'mappingproxy' objects}
       35    0.000    0.000    0.000    0.000 typing.py:896(_no_slots_copy)
       75    0.000    0.000    0.000    0.000 typing.py:931(<genexpr>)
        1    0.000    0.000    0.000    0.000 pyopenssl.py:137(_validate_dependencies_met)
       27    0.000    0.000    0.000    0.000 typing.py:654(_check_generic)
        2    0.000    0.000    0.000    0.000 client.py:60(write_http_request)
      189    0.000    0.000    0.000    0.000 status_codes.py:112(<genexpr>)
        2    0.000    0.000    0.000    0.000 streams.py:236(connection_made)
       20    0.000    0.000    0.000    0.000 http.py:293(__setitem__)
      110    0.000    0.000    0.000    0.000 parse.py:98(_noop)
       12    0.000    0.000    0.000    0.000 streams.py:500(readuntil)
        2    0.000    0.000    0.000    0.000 feedparser.py:101(push)
        2    0.000    0.000    0.000    0.000 adapters.py:203(cert_verify)
        8    0.000    0.000    0.000    0.000 cookiejar.py:680(reach)
        2    0.000    0.000    0.000    0.000 extensions.py:1372(__init__)
        1    0.000    0.000    0.000    0.000 unix_events.py:49(_UnixSelectorEventLoop)
       13    0.000    0.000    0.000    0.000 __init__.py:1268(__init__)
       12    0.000    0.000    0.000    0.000 __init__.py:1212(_fixupParents)
        1    0.000    0.000    0.000    0.000 charmap.py:11(<module>)
      116    0.000    0.000    0.000    0.000 {method 'partition' of 'str' objects}
        8    0.000    0.000    0.000    0.000 extensions.py:1163(<genexpr>)
       28    0.000    0.000    0.000    0.000 feedparser.py:78(readline)
       23    0.000    0.000    0.000    0.000 events.py:638(_get_running_loop)
       82    0.000    0.000    0.000    0.000 {method 'find' of 'str' objects}
        1    0.000    0.000    0.000    0.000 typing.py:686(_Union)
        2    0.000    0.000    0.000    0.000 crypto.py:1464(get_subject)
        9    0.000    0.000    0.000    0.000 typing.py:498(__init__)
       24    0.000    0.000    0.000    0.000 cookiejar.py:524(is_HDN)
        4    0.000    0.000    0.000    0.000 selector_events.py:311(_remove_writer)
        4    0.000    0.000    0.000    0.000 ssl.py:360(__new__)
     11/9    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:980(_recalculate)
       12    0.000    0.000    0.000    0.000 cookiejar.py:1204(deepvalues)
        4    0.000    0.000    0.000    0.000 response.py:347(_error_catcher)
       35    0.000    0.000    0.000    0.000 datetime.py:262(_check_int_field)
        1    0.000    0.000    0.000    0.000 bisect.py:1(<module>)
        1    0.000    0.000    0.000    0.000 subprocess.py:107(Process)
       57    0.000    0.000    0.000    0.000 {built-in method math.ceil}
        8    0.000    0.000    0.000    0.000 cookiejar.py:750(__init__)
        1    0.000    0.000    0.000    0.000 _endian.py:1(<module>)
        2    0.000    0.000    0.000    0.000 message.py:213(get_payload)
       20    0.000    0.000    0.000    0.000 {built-in method _openssl.X509V3_EXT_d2i}
        4    0.000    0.000    0.000    0.000 contextlib.py:129(contextmanager)
        4    0.000    0.000    0.000    0.000 headers.py:103(parse_list)
        6    0.000    0.000    0.000    0.000 extensions.py:1375(<genexpr>)
        7    0.000    0.000    0.000    0.000 six.py:91(__get__)
        4    0.000    0.000    0.000    0.000 base_events.py:171(_ensure_resolved)
        4    0.000    0.000    0.000    0.000 parse.py:450(urlunparse)
       11    0.000    0.000    0.000    0.000 selectors.py:68(__getitem__)
       24    0.000    0.000    0.000    0.000 tokenize.py:148(<listcomp>)
       82    0.000    0.000    0.000    0.000 binding.py:53(_openssl_assert)
       10    0.000    0.000    0.000    0.000 extensions.py:1183(<genexpr>)
        2    0.000    0.000    0.000    0.000 selector_events.py:344(add_writer)
       16    0.000    0.000    0.000    0.000 socket.py:97(_intenum_converter)
       20    0.000    0.000    0.000    0.000 decode_asn1.py:800(<lambda>)
        1    0.000    0.000    0.000    0.000 serialization.py:172(Encoding)
       18    0.000    0.000    0.000    0.000 typing.py:168(__new__)
        2    0.000    0.000    0.000    0.000 sessions.py:668(<listcomp>)
        2    0.000    0.000    0.000    0.000 models.py:534(prepare_auth)
      101    0.000    0.000    0.000    0.000 six.py:177(_add_module)
        1    0.000    0.000    0.000    0.000 enums.py:5(<module>)
        2    0.000    0.000    0.000    0.000 client.py:411(<lambda>)
        4    0.000    0.000    0.000    0.000 adapters.py:146(init_poolmanager)
       11    0.000    0.000    0.000    0.000 name.py:28(<genexpr>)
       22    0.000    0.000    0.000    0.000 message.py:479(set_raw)
        1    0.000    0.000    0.000    0.000 typing.py:1298(CallableMeta)
        1    0.000    0.000    0.000    0.000 inspect.py:2390(_ParameterKind)
        1    0.000    0.000    0.000    0.000 threading.py:1190(__init__)
        2    0.000    0.000    0.000    0.000 cookiejar.py:1334(add_cookie_header)
       34    0.000    0.000    0.000    0.000 {built-in method _openssl.OBJ_obj2txt}
       58    0.000    0.000    0.000    0.000 {method 'copy' of 'mappingproxy' objects}
        2    0.000    0.000    0.000    0.000 selector_events.py:275(_remove_reader)
        2    0.000    0.000    0.000    0.000 response.py:224(release_conn)
       25    0.000    0.000    0.000    0.000 ipaddress.py:476(_prefix_from_prefix_string)
        2    0.000    0.000    0.000    0.000 sessions.py:143(resolve_redirects)
        2    0.000    0.000    0.000    0.000 response.py:318(_decode)
        5    0.000    0.000    0.000    0.000 datetime.py:292(_check_time_fields)
        5    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:622(_load_backward_compatible)
       21    0.000    0.000    0.000    0.000 {built-in method _heapq.heappop}
        2    0.000    0.000    0.000    0.000 poolmanager.py:58(_default_key_normalizer)
        1    0.000    0.000    0.000    0.000 ipaddress.py:1245(IPv4Address)
        2    0.000    0.000    0.000    0.000 response.py:303(_init_decoder)
        1    0.000    0.000    0.000    0.000 auth.py:8(<module>)
        1    0.000    0.000    0.000    0.000 unix_events.py:59(_socketpair)
       40    0.000    0.000    0.000    0.000 sre_compile.py:102(fixup)
       40    0.000    0.000    0.000    0.000 {method 'sub' of '_sre.SRE_Pattern' objects}
        2    0.000    0.000    0.000    0.000 utils.py:906(get_auth_from_url)
        8    0.000    0.000    0.000    0.000 message.py:29(_splitparam)
        2    0.000    0.000    0.000    0.000 selector_events.py:552(__init__)
        1    0.000    0.000    0.000    0.000 queues.py:28(Queue)
       20    0.000    0.000    0.000    0.000 selectors.py:214(_fileobj_lookup)
       94    0.000    0.000    0.000    0.000 ipaddress.py:550(__int__)
       21    0.000    0.000    0.000    0.000 {built-in method _heapq.heappush}
       13    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:976(_get_parent_path)
        4    0.000    0.000    0.000    0.000 cookies.py:529(merge_cookies)
       76    0.000    0.000    0.000    0.000 {built-in method builtins.abs}
      106    0.000    0.000    0.000    0.000 {method 'setdefault' of 'dict' objects}
        1    0.000    0.000    0.000    0.000 binding.py:107(_register_osrandom_engine)
        8    0.000    0.000    0.000    0.000 cookiejar.py:75(_timegm)
        8    0.000    0.000    0.000    0.000 cookiejar.py:1239(__init__)
        2    0.000    0.000    0.000    0.000 decode_asn1.py:382(_decode_key_usage)
        2    0.000    0.000    0.000    0.000 crypto.py:1419(_get_name)
        2    0.000    0.000    0.000    0.000 response.py:71(decompress)
       25    0.000    0.000    0.000    0.000 events.py:132(cancel)
        1    0.000    0.000    0.000    0.000 structures.py:8(<module>)
        2    0.000    0.000    0.000    0.000 utils.py:475(get_encoding_from_headers)
        1    0.000    0.000    0.000    0.000 protocols.py:1(<module>)
        5    0.000    0.000    0.000    0.000 datetime.py:279(_check_date_fields)
        5    0.000    0.000    0.000    0.000 selectors.py:404(register)
        1    0.000    0.000    0.000    0.000 SSL.py:1443(Connection)
        9    0.000    0.000    0.000    0.000 __init__.py:358(__getattr__)
        1    0.000    0.000    0.000    0.000 socket.py:475(socketpair)
        2    0.000    0.000    0.000    0.000 client.py:227(__init__)
       12    0.000    0.000    0.000    0.000 cookiejar.py:1200(vals_sorted_by_key)
        2    0.000    0.000    0.000    0.000 handshake.py:181(accept)
        2    0.000    0.000    0.000    0.000 client.py:45(__init__)
        6    0.000    0.000    0.000    0.000 cookies.py:521(<listcomp>)
        6    0.000    0.000    0.000    0.000 sessions.py:73(<listcomp>)
        1    0.000    0.000    0.000    0.000 ssl.py:376(Purpose)
        2    0.000    0.000    0.000    0.000 selector_events.py:296(_add_writer)
        8    0.000    0.000    0.000    0.000 utils.py:927(check_header_validity)
       36    0.000    0.000    0.000    0.000 {method 'new' of 'CompiledFFI' objects}
        1    0.000    0.000    0.000    0.000 dh.py:80(DHParameterNumbers)
        2    0.000    0.000    0.000    0.000 connectionpool.py:250(_put_conn)
        1    0.000    0.000    0.000    0.000 base_futures.py:1(<module>)
        1    0.000    0.000    0.000    0.000 os.py:40(_get_exports_list)
        1    0.000    0.000    0.000    0.000 enum.py:850(<listcomp>)
        4    0.000    0.000    0.000    0.000 {built-in method _ssl.txt2obj}
        2    0.000    0.000    0.000    0.000 selector_events.py:469(_sock_connect_done)
       92    0.000    0.000    0.000    0.000 typing.py:1096(__hash__)
        2    0.000    0.000    0.000    0.000 selector_events.py:676(_add_reader)
        1    0.000    0.000    0.000    0.000 locks.py:43(_ContextManagerMixin)
        3    0.000    0.000    0.000    0.000 __init__.py:771(__init__)
       14    0.000    0.000    0.000    0.000 client.py:1243(<genexpr>)
        1    0.000    0.000    0.000    0.000 backend.py:72(Backend)
        1    0.000    0.000    0.000    0.000 response.py:7(<module>)
       72    0.000    0.000    0.000    0.000 ipaddress.py:417(_check_int_address)
        1    0.000    0.000    0.000    0.000 crypto.py:1082(__init__)
       91    0.000    0.000    0.000    0.000 typing.py:139(__init__)
        2    0.000    0.000    0.000    0.000 protocol.py:168(__init__)
        1    0.000    0.000    0.000    0.000 SSL.py:683(Context)
       28    0.000    0.000    0.000    0.000 {method 'fullmatch' of '_sre.SRE_Pattern' objects}
        4    0.000    0.000    0.000    0.000 weakref.py:102(__init__)
        4    0.000    0.000    0.000    0.000 poolmanager.py:152(__init__)
       60    0.000    0.000    0.000    0.000 player_network.py:158(username)
        6    0.000    0.000    0.000    0.000 tasks.py:316(_release_waiter)
       75    0.000    0.000    0.000    0.000 signal.py:22(<lambda>)
       12    0.000    0.000    0.000    0.000 utils.py:144(deprecated)
        4    0.000    0.000    0.000    0.000 extensions.py:301(__init__)
       22    0.000    0.000    0.000    0.000 queue.py:20(_get)
        1    0.000    0.000    0.000    0.000 base_events.py:244(__init__)
        2    0.000    0.000    0.000    0.000 decode_asn1.py:341(_decode_authority_key_identifier)
       58    0.000    0.000    0.000    0.000 six.py:835(add_metaclass)
       78    0.000    0.000    0.000    0.000 typing.py:984(<genexpr>)
        2    0.000    0.000    0.000    0.000 backend.py:119(_get_osurandom_engine)
        2    0.000    0.000    0.000    0.000 functools.py:193(total_ordering)
        1    0.000    0.000    0.000    0.000 extensions.py:899(TLSFeatureType)
        2    0.000    0.000    0.000    0.000 response.py:255(_init_length)
        5    0.000    0.000    0.000    0.000 contextlib.py:157(helper)
        2    0.000    0.000    0.000    0.000 {method 'decompress' of 'zlib.Decompress' objects}
        2    0.000    0.000    0.000    0.000 {built-in method _openssl.SSL_new}
        1    0.000    0.000    0.000    0.000 ec.py:93(EllipticCurvePublicKey)
        2    0.000    0.000    0.000    0.000 selector_events.py:349(remove_writer)
       27    0.000    0.000    0.000    0.000 {built-in method builtins.repr}
       47    0.000    0.000    0.000    0.000 ipaddress.py:607(__init__)
        2    0.000    0.000    0.000    0.000 feedparser.py:139(__init__)
       14    0.000    0.000    0.000    0.000 core.py:127(check_initial_combiner)
       16    0.000    0.000    0.000    0.000 typing.py:646(<genexpr>)
        1    0.000    0.000    0.000    0.000 subprocess.py:746(__exit__)
       17    0.000    0.000    0.000    0.000 __init__.py:219(_acquireLock)
       28    0.000    0.000    0.000    0.000 enum.py:135(<dictcomp>)
       19    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:232(_requires_builtin_wrapper)
       34    0.000    0.000    0.000    0.000 handshake.py:56(<genexpr>)
        1    0.000    0.000    0.000    0.000 sslproto.py:48(_SSLPipe)
        5    0.000    0.000    0.000    0.000 contextlib.py:79(__enter__)
        2    0.000    0.000    0.000    0.000 handshake.py:155(<listcomp>)
        2    0.000    0.000    0.000    0.000 crypto.py:1098(to_cryptography)
        4    0.000    0.000    0.000    0.000 tasks.py:688(_done_callback)
        1    0.000    0.000    0.000    0.000 protocol.py:49(State)
