python3 -m cProfile -s cumtime src/main.py >> profile.txt
         1015011 function calls (1009599 primitive calls) in 7.412 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      556    0.020    0.000    0.120    0.000 <frozen importlib._bootstrap_external>:1233(find_spec)
        1    0.000    0.000    0.119    0.119 connectionpool.py:1(<module>)
        1    0.000    0.000    0.118    0.118 utils.py:9(<module>)
    54389    0.114    0.000    0.114    0.000 {method 'split' of 'str' objects}
10401/10021    0.029    0.000    0.111    0.000 {built-in method builtins.hasattr}
        1    0.000    0.000    0.109    0.109 _elliptic_curve.py:47(<module>)
        1    0.000    0.000    0.108    0.108 _int.py:32(<module>)
      142    0.001    0.000    0.108    0.001 utils.py:32(register_decorator)
        1    0.000    0.000    0.104    0.104 _internal_utils.py:9(<module>)
        1    0.000    0.000    0.103    0.103 compat.py:9(<module>)
     1357    0.101    0.000    0.101    0.000 decoder.py:345(raw_decode)
        1    0.000    0.000    0.099    0.099 process.py:44(<module>)
        1    0.000    0.000    0.095    0.095 battle.py:1(<module>)
        1    0.000    0.000    0.092    0.092 exceptions.py:1(<module>)
       83    0.001    0.000    0.091    0.001 sre_compile.py:542(_code)
     1356    0.014    0.000    0.089    0.000 tasks.py:284(wait)
     7198    0.024    0.000    0.089    0.000 locks.py:192(release)
       83    0.001    0.000    0.088    0.001 sre_parse.py:844(parse)
      143    0.005    0.000    0.088    0.001 utils.py:84(verify_interface)
     8678    0.053    0.000    0.087    0.000 pokemon.py:64(_update_formatted_details)
        2    0.000    0.000    0.087    0.043 socket.py:728(getaddrinfo)
        2    0.086    0.043    0.086    0.043 {built-in method _socket.getaddrinfo}
     8689    0.031    0.000    0.084    0.000 __init__.py:1286(debug)
    24/23    0.000    0.000    0.083    0.004 <frozen importlib._bootstrap>:433(spec_from_loader)
       11    0.000    0.000    0.083    0.008 <frozen importlib._bootstrap>:861(_find_spec_legacy)
        5    0.000    0.000    0.083    0.017 six.py:209(is_package)
        6    0.000    0.000    0.083    0.014 six.py:114(_resolve)
